Artemis - Future Bow & Arrow Universe,"Take your Artemis and step into the WONDER FITTER universe; where the heartbeat races in sync with the arrow's flight. 


Grasp the nock firmly; maintain a steady hand; and breathe in a calm; controlled way for stability. Concentrate and take aim at the target; then let the arrow fly until it solidly lands on the target. Aim; SHOOT; and be instantly transported into the virtual world of immersive archery fun.

Revamped with the advanced Aiming Module 2.0; Artemis sets a new standard for accurate and smooth archery gameplay; from lining up your shot to hitting your target. Looking for engaging action?... Only Artemis can deliver.

Be the sharpshooter of the archery world while working up a satisfying sweat with Artemis. Transform your exercise routine into an exhilarating adventure; conquering challenges with your bow and arrow to improve your sportsmanship and boost your fitness. 


Experience the thrill of archery as you simultaneously enhance your strength; focus; and overall well-being. Embrace the joy of playtime while honing your skills and achieving your fitness goals!",C:/Users/USER/Desktop/pbl2/project/tech/Artemis - Future Bow & Arrow Universe/524c4a47718ec819d98a853657766737_original.jpg
Bowio 2.0 - Light Up Your Reading Delight,"Say Hello to the new Bowio 2.0! Not just any light; but the right light; and now remastered for your reading delight. As passionate readers; we've redesigned the Bowio Book Light to enhance your reading journey. With a distinct and stylish design; Bowio stands apart from anything you've encountered before.

Bowio's unique design ensures even and optimal lighting across every page. Bowio delivers a reading experience that beautifully balances contrast and minimizes glare. Plus; with touch controlled brightness; you're assured an uninterrupted; tailored reading session.


Our crowdfunding approach lies a steadfast commitment to our backers. With a proven success in guaranteeing deliveries; we've delivered before and will do again.
We prioritize our backers; ensuring that our dedicated support is always accessible and responsive; every message; every comment; is crucial to us. 
When it comes to logistics; we don't compromise. With premium tracked shipping; we ensure swift and secure deliveries; collaborating only with top-tier shipping partners. 
Our rigorous product development process ensures that only the finest products reach you. If it doesn't meet our high standards; it simply won't ship. For us; quality and commitment are promises.



Bowio's singular design casts the perfect glow across every page. It is a companion where you control the perfect amount of uniform illumination; lets you immerse into the pages of your favorite book; free from shadows or glare. The new Bowio will never disturb your sleep or the peace of others around you.




Bowio 2.0 unveils a richer color palette; an intuitive color-matching dial; and the exquisite touch of premium leathers; all wrapped in a sleeker; lighter form. Plus; it's powered by entirely upgraded electronics.",C:/Users/USER/Desktop/pbl2/project/tech/Bowio 2.0 - Light Up Your Reading Delight/96bf764ba7abafd9a5b3086bd3820b27_original.jpg
ORBCLIP - The Ultimate Quick-Release Keychain Carabiner,"After having delivered more than 40;000 items on previous Kickstarter campaigns we are back with something completely new

 
Welcome to the world of ORBCLIP; the revolutionary quick-access keychain clip designed to simplify your everyday carry experience. Say goodbye to fumbling through a bunch of keys just to find the one you need. With ORBCLIP; you can effortlessly separate one key from the rest with lightning speed.

ORBCLIP works on keys or other EDC items for which you need a quick mounting solution. The product includes a socket and joint part; each with a 12mm titanium split ring. 
Both parts of ORBCLIP can be split instantly with a gentle pull.
Convenience above all
ORBCLIP is crafted from Grade 5 Titanium; and its ultra-lightweight profile makes it weigh only 3.5 grams; ensuring it doesn't add bulk to your pockets or backpacks.
Carry more; Weigh less
Supports over 100 times its own weight
While ORBCLIP is so small and light it can hold up to 4kg of weight.
Here are some examples highlighting where ORBCLIP proves to be incredibly useful:",C:/Users/USER/Desktop/pbl2/project/tech/ORBCLIP - The Ultimate Quick-Release Keychain Carabiner/9fd7f7b803f9480030fcf13a9e58561a_original.jpg
Shargeek 170 - Coolest Powerbank with Unparalleled Charging,"Introducing Shargeek 170. Mighty charging meets sleek design.
 
Stands out with transparent prism silhouette. Ultimate power with 170W max output & 140W max input. Smart display for visible and controllable charging experience. All-round safety design with water-resistance.
 
The perfect power station to declutter your workspace and pump your productivity.
 


Inspired by Dark Side of the Moon; Pink Floyd's timeless masterpiece.
 
Unique transparent prism silhouette houses exquisite engineering. Charging with style.
 


Ultra-fast and efficient. Always ready when you need it.
 
170W max output with PD 3.1 140W max single-port output. Powers up your devices in no time. 140W max input games up recharging from 0%-50% within only 20 mins. Pass-through charging helps power your devices while being recharged.
 
Speed of future.
 


Packed with 2×USB-C and 1×USB-A ports; for 3-device fast charging at once. Even when all ports are in use; you still get up to 65W fast charging from either one USB-C port.
 
All-in-one power solution to declutter your workspace and pump up your productivity.",C:/Users/USER/Desktop/pbl2/project/tech/Shargeek 170 - Coolest Powerbank with Unparalleled Charging/e39c9f30ab50552fccea31819c3be299_original.jpg
"SHARKZ - A Micro Knife, Mighty in Sharpness, Minimal in Size","Hey Kickstarter! We are YSMART; dedicated to innovating Everyday Carry (EDC) essentials. After eight successful campaigns; supported by 23;500 backers and delivering over 92;000+ products; we're back with our 9th Kickstarter: SHARKZ.
So; what's the big deal about SHARKZ? It's simple: we've cracked the code to create a keychain knife that doesn’t just look stylish but cuts like a dream. Far surpassing your typical keychain cutter; SHARKZ is designed to efficiently handle more than just surface-level tasks. It is your trusty mini blade—mighty in sharpness; minimal in size.
Meet SHARKZ
A Micro Knife That Rewrites the Rulebook.
SHARKZ is not your average keychain cutter; it's the world's smallest; yet sharpest and most durable micro knife.

Ever wished for a knife as sharp as a full-size one but doesn’t weigh you down? Meet SHARKZ. The body? Crafted from Grade 5 Titanium; it goes beyond being waterproof and fireproof—it's nearly unbreakable. The blade? It's a unique blend of 90% tungsten carbide and a secret recipe of other materials; engineered for unmatched sharpness; hardness; and durability. 


Why Size Matters: A Mighty Mini Marvel.
SHARKZ isn't just small – it's 5cm of pure ingenuity. Effortlessly slip it into your wallet; hook it onto your keyring; clip it to your backpack; or tag it onto your jacket's zipper. SHARKZ embodies the perfect balance of minimalism and functionality. This tiny titan is constantly at the ready; ensuring you’re equipped for any cutting challenge.","C:/Users/USER/Desktop/pbl2/project/tech/SHARKZ - A Micro Knife, Mighty in Sharpness, Minimal in Size/99c983303639e3552647db9634fdc4af_original.jpg"
"The KeySnap, Titanium EDC Multitool Keychain Carabiner","Lightweight; sturdy; and beautifully designed. This unique keychain is made of a solid piece of titanium; forming a unique shape. The simple and carefully designed structural details make it unique. 
In addition; ultra light titanium metal can be easily hung on the belt ; trouser loop or mountaineering bag; achieving the goal of making it the best on-the-go keychain carabiner.o bring this game-changing innovation to life; we need your support. By backing our Kickstarter campaign; you will secure your very own multifunctional Keychain at an exclusive super early-bird price.
The Birth of KeySnap
When outdoor enthusiasts encounter difficulties; they can quickly ruin their adventure. But having the right tools around can help you get back on track. Determined to find a compact tool that combines versatility and portability; we embarked on a mission that gave rise to KeySnap.
Design sketch
Driven by our passion for perfect EDC tools; we have embarked on designing a multifunctional keychain that is suitable for outdoor use. Our dedicated team of experienced and professional designers seamlessly collaborated to bring KeySnap to life - the ultimate daily companion that will redefine EDC tools.",C:/Users/USER/Desktop/pbl2/project/tech/The KeySnap｜Titanium EDC Multitool Keychain Carabiner/91a893b80505252d138a477e9178c114_original.jpg
the NEW adventure hoodie with 23+ features and innovations,"Meet the new adventure hoodie!


The adventure sherpa is our warmest and most feature-packed hoodie! It has all of the features of our other hoodies along with the addition of sherpa-lined fabric throughout the body; arms; hood; and neck. It also has elbow pads; foldable cuffs (so you can cover more of your hands); and beverage grips; which add a little more adhesion to let you hold a beverage (or your phone) with your hands in the cuff-mittens.

The sherpa hoodie is deliciously cozy! Along with having all of the features that you'll love; it will be one of the most comfortable things you've ever owned. Below is a diagram of the features of the adventure sherpa.

All of our hoodies turn into incredibly soft travel pillows. Our unique three-panel hood lets the entire garment roll up into the hood. The lining of the sherpa hood is luxurious sherpa fabric; which gets you an incredibly soft sherpa pillow. Nap time just got better!

The adventure sherpa is now offered in FOUR colors; black camo; sage; charcoal and black.

When you receive your survey at the end of our campaign; you will be able to select charcoal; sage; black or black camo. At that point; you can add on as many hoodies that you want; in any style; at the early bird price.



The adventure limited is made with speciality fabrics. They're packed with all of the features that put the adventure hoodie on the map; with the addition of elbow pads (to protect the part of the hoodie that most often comes into contact with different surfaces).

The adventure limited will initially be offered in two colors; black camo and dark herringbone. We plan on adding more limited color options during this campaign.

Our founder; Zane Lamprey; traveled the world as the host and producer for shows on Travel Channel; Food Network and National Geographic. In 2007; when looking for the perfect hoodie to accompany him on his journeys; he couldn't find one. That began his mission to make the perfect hoodie. Since then; he has traveled to 72 countries; and has been making hoodies ever since!",C:/Users/USER/Desktop/pbl2/project/tech/the NEW adventure hoodie with 23+ features and innovations/a730feeaa3c3ee207ae36a9f73cabd20_original.jpg
The Superegg Mighty & Mega -  A 1960s design icon reborn,"The Superegg and the Superellipse it is based on are rather new shapes; yet are two of the most culturally significant and mathematically significant shapes of the 20th century. Due to their appealing and useful design; they have influenced numerous disciplines from industrial design; cartography; plant microscopy; typography; sports stadium design; architecture; horology and computer graphics. The humble 3D Superegg stuns onlookers with its intriguing rolling properties; approachable equation; and its mysterious balancing stability.


Overall; the Superegg and Superellipse are symbols of something much bigger than useful and aesthetic design. They are the result of and represent the synthesis and unification of algebra and geometry. Visit the Math Talk section below for more info. 

The Superegg's origins can be traced back to the early 19th century work of the great French mathematical-physicist and engineer Gabriel Lamé (1795-1870). In 1818; Lamé was studying various closed curves which resemble ellipses (this is a very simplistic synopsis of his curvilinear coordinate system contributions) and published a paper titled Examen de differentes méthodes employées pour résoudre les problèmes de géometrie (Review of different methods used to solve geometry problems). ",C:/Users/USER/Desktop/pbl2/project/tech/The Superegg Mighty & Mega -  A 1960s design icon reborn/403b86f7bc94deccc0c14be4ec32a296_original.jpg
Ti-Mag All Directions Titanium Magnetic Ratchet Screwdriver,"Use it anywhere; not getting limited by the space or direction of the screws.

Holds Up to 6 Bits at One Time

The screwdriver holds 6 bits at one time; and it’s just enough for daily use.
It works with any standard 1/4 bits; so if you need some unique bit sets; just go ahead and make your own favorite set for everyday use. 
Magnet Locked Bit Base
Imagine the bits are like bullets; and they are locked securely in place with strong magnets inside the titanium “Magazine.”
So; no matter if you place them inside your pocket or backpack full of messes; you don’t need to worry about your bits falling or getting lost. They stay where they should be.
High Quality Material= Made to Last
Gr5 Titanium/ Aviation-grade Aluminum
Unlike most screwdrivers on the market; Ti-Mag is made of the highest quality grade 5 titanium or aviation-grade aluminum. They are both super lightweight; strong; and durable. Titanium is rustproof; corrosion-resistant; and lasts like forever. Aviation-grade aluminum; after hard anodizing; is also anti-corrosive and carefree.
Ti-Mag is a tool designed and made to last longer than a lifetime.
agnetic Hex Hole

Thanks to the magnet inside every bit hole; the bits can easily get sucked and held into the bit hole.
Precision CNC machined bit holes fit perfectly with the standard 1/4 bit; and there is no playing at all when using it.
Ratchet Mechanism

With a unique ratchet mechanism included; you can easily change the direction of twisting by using another face of the tool. 
No need to stop for gas; with the ratchet mechanism; you can drive all the way home.
Practical Extending Bar Design

The extending bar is locked in place by the solid permanent magnet on the screwdriver. When not used; the bar is locked firmly in place; and you can insert it any way you like to work on screws that are located in narrow spaces.

How can EDC addicts go without a Prybar?
We've got you covered. Ti-Mag also has a milled head that's with the perfect angle and pry for you any time. Use it any way you like. Open the box; pry with it; or even break the window in an emergency.",C:/Users/USER/Desktop/pbl2/project/tech/Ti-Mag All Directions Titanium Magnetic Ratchet Screwdriver/03f01c0887073b0fbad156d4df193dc7_original.png
TiSpanner - a compact titanium multitool always within reach,"Adjustable Spanner Fits Every Need
TiSpanner boasts a remarkable adjustable design; perfect for tackling various nuts and bolts. Its swift jaw adjustments make it ideal for quick fixes around the house; precise assembly work; and outdoor equipment. TiSpanner simplifies your toolkit and maximizes your efficiency with the one-fits-all solution for all your tightening needs.

Celebrate with the Beer Opener
TiSpanner doubles as a pop bottle or beer opener; making it a must-have accessory for social gatherings or outdoor adventures. No matter you are at a vibrant barbecue or on a fun-filled camping trip; enjoy your favorite beverages without the hassle of searching for a separate opener. TiSpanner has got you covered.

Unbox Effortlessly with the Wolfram Head
When you come home to find a stack of mail or package boxes; instead of fumbling around for scissors or a knife; simply reach for your TiSpanner. Its Wolfram head effortlessly slices through tape and cardboard; allowing you to open your mailboxes or package boxes like a breeze; without damaging the contents inside.

 

Wolfram Attacking Head at Your Fingertips
Made of Wolfram metal with a hardness of nine on the Mohs scale; second only to diamond; TiSpanner's attacking head is not only designed for unboxing your packages; but also functions as an incisive attacker. Whether navigating routine activities or finding yourself in unexpected situations; TiSpanner stands ready to offer an extra option of self-defense; ensuring you're empowered and prepared for possible challenges life presents.",C:/Users/USER/Desktop/pbl2/project/tech/TiSpanner - a compact titanium multitool always within reach/f84f2d585ba716f75695727ebc3abe3d_original.jpg
